;NoHeuristic;Heuristic1;Heuristic2;Heuristic3;Heuristic4;CSHL
377;2787024;10264;2799;2800;2332;2799
378;3034283;6532;2799;2333;2800;5132
379;3628636;8398;3732;3732;2799;3265
380;4424530;8864;4199;4199;3732;3266
381;2473985;8397;3265;5131;2333;2800
382;3231157;12596;6065;5598;3266;3732
383;2646600;3733;2799;2332;2333;2799
384;3772326;6998;2799;2332;6064;3265
385;3256816;11197;3266;2799;2332;3266
386;2636337;4665;2799;2799;3266;3732
387;2699783;6998;2799;2332;1867;3265
388;2861201;4199;2333;2799;3732;3265
389;2985764;9330;2799;2332;2799;2799
390;3343589;8397;3266;5599;2332;3266
391;2766030;3266;3265;2800;19128;2799
392;2479584;6065;2799;61115;3733;2799
393;2587817;6998;3732;2333;2799;3266
394;2759966;3732;2799;2799;2332;3266
395;2671792;6531;4199;6998;3733;3732
396;2655930;6065;3265;2332;2333;2799
397;3285274;12130;3265;2333;5598;3732
398;2447394;5598;3266;2332;2333;9331
399;4390006;8397;4665;3732;3265;6998
400;3302069;8864;4665;3732;3266;4199
